ALLSKY_SFC_SW_DWN (Wh/m^2),Solar Zenith Angle (Degrees) ,Solar Zenith Angle (Degrees) REMOVED IF >85º,optimiced_moving_solar_ALLSKY_SFC_SW_DWN (Wh/m^2)
258.12,66.6,66.6,649.9342086
355.98,65.7,65.7,865.0487949
373.79,67.42,67.42,973.4798096
305.82,71.54,71.54,965.8210016
182.89,77.63,77.63,853.732887
56.74,85.2,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
5.62,89.25,0,0
33.8,82.41,82.41,255.8989468
44.78,75.23,75.23,175.64952
65.05,69.69,69.69,187.4103253
89.26,66.29,66.29,221.9803943
72.01,65.39,65.39,172.9182844
83.66,67.11,67.11,215.0846329
90.32,71.23,71.23,280.6974042
23.74,77.35,77.35,108.4043974
22.23,84.9,84.9,250.0722857
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
8.2,89.14,0,0
67.12,82.15,82.15,491.4331918
138.66,74.95,74.95,534.0021503
212.72,69.39,69.39,604.30957
249.87,65.97,65.97,613.6071853
216.89,65.07,65.07,514.5539814
190.95,66.79,66.79,484.5188391
158.62,70.94,70.94,485.7328299
88.45,77.06,77.06,394.9884945
33.75,84.6,84.6,358.6293156
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
10.17,89.02,0,0
103.13,81.88,81.88,730.1403999
223.62,74.66,74.66,845.2960321
291.8,69.08,69.08,817.2202673
330.56,65.65,65.65,801.7277287
353.45,64.74,64.74,828.282108
357.48,66.48,66.48,895.7845826
291.27,70.63,70.63,878.1995501
199.57,76.77,76.77,872.015528
67.71,84.3,84.3,681.7375212
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
